Time [s],Coolant Temp [F],Engine Speed [RPM],Exhaust Gas Temp [F] 
46.63392,127.4,2701.59708,-
46.641081,127.4,2714.8785,-
46.652329,127.4,2701.59708,-
46.663316,127.4,2680.1124299999997,-
46.663384,-,-,1436.437255859375
46.670863,127.4,2662.14345,-
46.692621,127.4,2644.9557299999997,-
46.700142,127.4,2622.2991899999997,-
46.711163,127.4,2576.59548,-
46.753967,127.4,2584.4080799999997,-
46.761428,125.60000000000001,2532.84492,-
46.772698,125.60000000000001,2571.12666,-
46.792851,125.60000000000001,2581.6736699999997,-
46.811702,127.4,2553.93894,-
46.822773,127.4,2582.45493,-
46.830438,127.4,2587.92375,-
46.841837,127.4,2577.3767399999997,-
46.852966,127.4,2544.56382,-
46.860642,127.4,2565.65784,-
46.864113,-,-,1436.437255859375
46.871738,127.4,2590.65816,-
46.890846,127.4,2592.22068,-
46.90217,127.4,2553.5483099999997,-
46.954348,127.4,2564.8765799999996,-
46.961766,125.60000000000001,2529.32925,-
46.97278,125.60000000000001,2547.6888599999997,-
46.982547,125.60000000000001,2540.6575199999997,-
47.000376,125.60000000000001,2514.48531,-
47.012018,127.4,2519.17287,-
47.023318,127.4,2507.0633399999997,-
47.030521,127.4,2486.35995,-
47.06545,-,-,1436.437255859375
47.072915,127.4,2499.64137,-
47.080065,127.4,2494.17255,-
47.099784,127.4,2464.48467,-
47.111068,125.60000000000001,2469.95349,-
47.122297,125.60000000000001,2455.89081,-
47.133562,125.60000000000001,2425.4216699999997,-
47.172325,125.60000000000001,2387.92119,-
47.183261,125.60000000000001,2443.00002,-
47.20075,125.60000000000001,2419.56222,-
47.211728,125.60000000000001,2467.21908,-
47.222705,127.4,2464.8752999999997,-
47.23397,127.4,2448.46884,-
47.241422,127.4,2428.1560799999997,-
47.297626,127.4,2472.29727,-
47.297694,-,-,1436.437255859375
47.347217,127.4,2502.37578,-
47.386303,127.4,2498.86011,-
47.425448,127.4,2446.5156899999997,-
47.476524,127.4,2447.29695,-
47.515727,127.4,2432.4530099999997,-
47.515809,-,-,1436.437255859375
47.604383,127.4,2549.64201,-
47.643468,127.4,2630.8930499999997,-
47.665177,127.4,2674.2529799999998,-
47.679523,127.4,2660.97156,-
47.683263,127.4,2688.7062899999996,-
47.702229,127.4,2672.69046,-
47.79904,127.4,2659.0184099999997,-
47.799108,-,-,1436.437255859375
47.813362,127.4,2739.87882,-
47.82092,127.4,2746.91016,-
47.832286,127.4,2723.8629899999996,-
47.843681,127.4,2694.95637,-
47.85127,127.4,2711.36283,-
47.862649,127.4,2710.9721999999997,-
47.870177,127.4,2692.22196,-
47.892937,129.2,2670.73731,-
47.900546,129.2,2709.8003099999996,-
