LOGNAME,1283748,0028.csv
VER,1283752,3
MSG,1308409,CAN init done
MSG,1321400,I2C init done
MSG,acc_mag found
ERR,am whoami,0
MSG,1349400,Sending CAN test message
CAN,2212037,1,0C301000,015F000000000000
CAN,2212325,1,01F0A00D,0012E00000032400
CAN,2212631,1,000A0620,0000000000000000
CAN,2212925,1,0C201000,0141000000000000
CAN,2213201,1,01F0A00A,6464646464640000
CAN,2213503,1,01F0A004,03D0000100000100
CAN,2213827,1,01F0A005,000000000000000E
CAN,2214155,1,01F0A006,0080000000008000
CAN,2214489,1,01F0A007,FFFF00CC00320A00
CAN,2214826,1,01F0A009,0000800103E80000
ACC,2219063,28304,-166896,1008696
GYR,2220028,7,984,390
CAN,2220041,1,01F0A000,0000457A024A1728
CAN,2220071,1,01F0A003,8114000000300429
CAN,2220395,1,01F0A004,03D0000100000100
CAN,2220717,1,01F0A005,000000000000000E
CAN,2221064,1,0C001000,012C000000000000
CAN,2222579,1,0C301000,0160000000000000
CAN,2222878,1,01F0A020,0000000000000000
CAN,2223282,1,01F0A010,0000000000323200
CAN,2223580,1,0C201000,0140000000000000
CAN,2223874,1,01F0A022,0000000000000000
CAN,2224181,1,01F0A011,0000000000000000
CAN,2224493,1,01F0A012,0649000000003200
CAN,2229709,1,01F0A000,0000457A024F1728
CAN,2230024,1,01F0A003,8214000000300429
CAN,2230349,1,01F0A004,03D0000100000100
CAN,2230670,1,01F0A005,000000000000000E
CAN,2231003,1,01F0A006,0080000000008000
CAN,2231329,1,0C101000,0142000000000000
CAN,2231614,1,01F0A007,FFFF00CC00320A00
CAN,2231908,1,0C001000,012D000000000000
CAN,2232198,1,01F0A009,0000800103E80000
CAN,2233141,1,0C301000,0160000000000000
CAN,2234144,1,0C201000,013F000000000000
CAN,2239709,1,01F0A000,0000457B02541728
CAN,2240070,1,01F0A003,8314000000300429
CAN,2240402,1,01F0A004,03D0000100000100
CAN,2240725,1,01F0A005,000000000000000E
CAN,2242462,1,0C001000,012D000000000000
CAN,2243707,1,0C301000,0160000000000000
CAN,2244190,1,01F0A020,0000000000000000
CAN,2244525,1,01F0A010,0000000000323200
CAN,2244823,1,0C201000,0140000000000000
CAN,2245117,1,000A0630,FFFFFFFF00000000
CAN,2245434,1,01F0A022,0000000000000000
CAN,2245736,1,01F0A011,0000000000000000
CAN,2246292,1,01F0A012,0649000000003200
CAN,2250202,1,01F0A000,00004577025D1728
CAN,2250531,1,01F0A003,831400000030042B
CAN,2250855,1,01F0A004,03D0000100000100
CAN,2251177,1,01F0A005,000000000000000E
CAN,2251505,1,01F0A006,0080000000008000
CAN,2251835,1,01F0A007,FFFF00CC00320A00
CAN,2252322,1,01F0A009,0000800103E80000
CAN,2252619,1,0C101000,0142000000000000
CAN,2253009,1,0C001000,012D000000000000
CAN,2254244,1,0C301000,0161000000000000
CAN,2255187,1,01F0A00B,03E8000000003200
CAN,2255484,1,0C201000,013F000000000000
CAN,2255769,1,01F0A00D,0012E00000032400
CAN,2256301,1,000A0620,0000000000000000
CAN,2256589,1,01F0A00A,6464646464640000
CAN,2259711,1,01F0A000,0000457B025D1728
CAN,2260032,1,01F0A003,831400000030042B
CAN,2260434,1,01F0A004,03D0000100000100
CAN,2260756,1,01F0A005,000000000000000E
CAN,2262274,1,01F0A008,3274007300282800
CAN,2263565,1,0C001000,012A000000000000
CAN,2264788,1,0C301000,0161000000000000
CAN,2266031,1,0C201000,0140000000000000
CAN,2266329,1,01F0A020,0000000000000000
CAN,2266659,1,01F0A010,0000000000323200
CAN,2266983,1,01F0A022,0000000000000000
CAN,2267285,1,01F0A011,0000000000000000
CAN,2267597,1,01F0A012,0649000000003200
ACC,2269043,30256,-159088,995520
GYR,2270013,1382,234,-125
CAN,2270026,1,01F0A000,0000457E02641728
CAN,2270038,1,01F0A003,831400000030042B
